body,classification,timestamp,title
"(Reuters) - Comcast Corp (,) on Thursday beat Wall Street's revenue and profit estimates due to growth in broadband customers, but the company lost more cable TV subscribers than Wall Street expected and its NBC Universal unit revenues were hurt as the film ""Cats"" bombed at the box office. ,Management said on the earnings call that it expected accelerating cable TV subscriber declines, which helped push the stock down 1.3%. Other media company shares were also down.  ,""With the rate adjustments that we are implementing in 2020 as well as the ongoing changes in consumer behavior, we expect higher video subscriber losses this year,"" said Chief Financial Officer Michael Cavanagh.  ,Pay TV companies have been raising rates instead of trying to hang on to bargain-chasers who are cutting cable service. In the fourth quarter Comcast lost 149,000 video customers, more than a loss of 139,000 estimated by research firm FactSet, but fewer than the 238,000 video customers it lost in the third quarter. ,The company has been vocal about its effort to chase broadband customers to offset cord-cutting, as viewers who stream TV and film require a broadband connection to do so. ,It gained 442,000 broadband subscribers in the quarter, beating analysts' average estimate of 378,000 net additions, according to FactSet. Revenue from that business grew 8.8% to $4.79 billion. ,Comcast will enter the streaming video war on April 15, when it launches its advertising-supported Peacock streaming service to Comcast customers, followed by a launch across the United States on July 15. ,The company reported fourth-quarter revenue of $28.4 billion, beating the Wall Street consensus estimate of $28.17 billion, according to IBES data from Refinitiv. ,Revenue growth was aided by British pay-TV group Sky, which the company acquired for $39 billion in 2018. The business generated fourth-quarter revenue of $5.04 billion, beating the average estimate of $4.82 billion. ,For the fourth quarter Comcast's NBCUniversal segment, which includes NBC Entertainment and Universal Pictures, reported revenue of $9.15 billion, down 2.6% from a year earlier. Revenue at the filmed entertainment unit fell 21% from the same quarter a year earlier. ,Net income attributable to Comcast rose to $3.16 billion, or 68 cents per share, from $2.51 billion, or 55 cents per share, a year earlier. ,Excluding items, the company earned 79 cents per share. Analysts on average had estimated the company to earn 76 cents. ,Comcast increased its dividend by 10% to $0.92 per share on an annualized basis for 2020. ",Business News,1/23/2020 12:16,Comcast results beat forecasts on broadband growth; 'Cats' hits NBC Universal unit
"(Reuters) - Comcast's (,) NBC and Sky will jointly launch a global news channel taking aim at CNN, the Financial Times reported , on Thursday. ,The channel, NBC Sky World News, will unite Comcast's transatlantic brands, the report said. ,NBC Sky World News would draw on a 3,500-strong combined workforce of NBC and Sky news and hire 100-200 dedicated staff over time, the report added, citing Andy Lack, chairman of NBC News. ,Ten new bureaus will be opened worldwide, extending the NBC-Sky reporting footprint by about 50%. On launch, the television channel will reach 130 million households, according to the report. ,Comcast did not immediately respond to a Reuters request for comment. ",Technology News,1/23/2020 15:01,Comcast takes aim at CNN with NBC-Sky global news channel: FT
"FRANKFURT (Reuters) - The European Central Bank launched a broad review of its policy on Thursday that is likely to see new President Christine Lagarde redefine the ECB's main goal and how to achieve it. ,The euro zone's central bank has fallen short of its inflation target of just under 2% for years, even after launching increasingly aggressive stimulus measures under Lagarde's predecessor, Mario Draghi.  ,Lagarde said that aim will now be reviewed, along with the ECB's toolkit, how it measures price growth and how it communicates with the public.  ,""We will not leave any stone unturned and how we measure inflation is clearly something we need to look at,"" Lagarde told her second news conference as ECB president. ,How the ECB changes its formulation of price stability — currently defined as an annual inflation rate below, but close to, 2% over the medium term — will be crucial to anticipate future policy moves. ,The ECB could signal its commitment to boosting inflation by raising the goal to 2% and spelling out that it will take any undershooting just as seriously as an overshoot. ,But hawks on the policymaking Governing Council, who have long called for the ECB's money taps to be shut off, will not go down without a fight. ,Some of them favour creating a tolerance band around 2%, which would reduce pressure on the ECB to act, while others would leave the target unchanged or even cut it. ,Lagarde refrained from revealing her favoured option pending the end of the review, expected in November or December. ,An analysis on how to better incorporate housing costs, which have been rising fast in Germany and other euro zone countries, is likely to take even longer, Lagarde added. ,The ECB will also look closely at how it can incorporate the economic impact of climate change into its policy. ,This is a thorny issue that some of Lagarde's colleagues do not believe belongs in a central bank's mandate at all. ,Objections include that a climate change objective might interfere with the ECB's goal of maintaining price stability or ease pressure on governments to do their part. ,""I'm aware of all that but I'm also aware of the danger of doing nothing and I think that, you know, failing to try is already failing,"" Lagarde said. ,She added the ECB could look at whether the issuers of the bonds that it buys or accepts as collateral comply with environmental, social and corporate governance (ESG) criteria. ,ECB rate-setters did not make any policy change on Thursday, simply standing by their pledge to keep buying bonds and, if needed, cut interest rates until price growth in the euro zone heads back to their goal. ,They did, however, discuss the recent improvement in the economic outlook, which has seen data stabilise and the United States and China reach a trade deal. ,Lagarde acknowledged that views differed on the Governing Council and welcomed the discussion, emphasising the diplomatic skills that her predecessor was often accused of lacking. ,""I'm not a despotic president of the Governing Council,"" Lagarde said. ""All governors have their space and time in order to share their perspective and submit their views, but at the end of the day and at the end of the process, we still have to complete the introductory statement and release a monetary policy decision."" ,The ECB is widely expected to leave its monetary policy on hold until the review is completed.  ,That would leave it adding 20 billion euros ($22.16 billion) worth of bonds to its 2.6 trillion euro portfolio every month and charging banks 0.5% on their idle cash for most of the year.   ,But Lagarde said the ECB would adhere to its current strategy until a new one is adopted, meaning policy changes could still take place in the meantime. ,""We think the ECB will cut interest rates at the end of the year when the review concludes, in order to underline its commitment to meeting the inflation target,"" said Paul Diggle, an economist at Aberdeen Standard Investments.  ,The euro , fell against the U.S. dollar after Lagarde's news conference and was last down 0.4% at $1.1046.  ",Business News,1/22/2020 23:06,ECB's Lagarde launches policy overhaul that will leave no stone unturned
"AMSTERDAM (Reuters) - Fiat Chrysler's (,) Jeep Grand Cherokee and Suzuki's (,) Vitara diesel models both break emissions rules and must be fixed or face a ban on sales across Europe, the Dutch road authority ruled on Thursday.  ,The RDW authority, acting as the reference regulator for across the European Union, said Jeep had developed a software fix and that the authority had ordered the company to recall the model across Europe to roll it out. ,It added Suzuki had yet to find a credible solution for the Vitara.  ,""Suzuki must come with adequate improvement measures or the RDW will begin the process of revoking its European type approval,"" the RDW said in a statement, adding it had also started the process of revoking approval for the Jeep Grand Cherokee as a ""precautionary measure.""  ,Regulators across the world have been testing diesel models since Volkswagen (,) admitted in 2015 that it used illegal software to cheat U.S. emissions tests.  ,The RDW said it had found both the Jeep Grand Cherokee and Vitara had used ""prohibited emissions strategies"" that led them to emit higher levels of harmful nitrogen oxide (NOx) on the road than under testing conditions. ,Dutch State Secretary for Infrastructure, Stientje van Veldhoven, said in a letter to parliament she would inform prosecutors of the RDW's findings. ,Fiat Chrysler and Suzuki could not immediately be reached for comment. ",Business News,1/23/2020 11:43,"Jeep, Suzuki models found to have broken EU emissions rules"
"(Reuters) - S&P Global Ratings on Thursday placed Boeing Co's (,) 'A-' credit rating on 'credit watch' with negative implications, citing a rise in costs and cash outflows at the U.S. planemaker due to a further delay in the grounded 737 MAX's recertification.  ,The ratings agency said its expects Boeing's funds from operations (FFO) to debt ratio to fall below 30% in 2020, following the plane manufacturer's announcement earlier this week that the 737 MAX will not win approval for a return service until mid-year. ,""This will result in a longer period of cash outflows than we expected for 2020, as well as less debt reduction in the latter half of the year because Boeing will deliver fewer aircraft,"" S&P Global Ratings said in a statement. ,The agency said it could lower Boeing's rating below 'A-' if FFO to debt did not rise above 30% within the next 12-24 months, or if the 737 MAX grounding permanently damages Boeing's reputation with customers and regulators. ,On Wednesday, Fitch Ratings also cut Boeing's outlook to ""negative"" from ""stable"" and affirmed the company's credit rating at 'A-', citing regulatory risk regarding the timing of the 737 MAX's return to service. ",Business News,1/23/2020 18:20,S&P Global places Boeing's rating on credit watch negative
"GEORGETOWN (Reuters) - Guyana's government next month plans to begin a search for an oil company or trading firm to market its share of the South American country's crude, the director of the Department of Energy, Mark Bynoe, said in an interview.      ,The government is entitled to a portion of the light, sweet crude that a consortium led by Exxon Mobil Corp (,) began producing last month after making 15 discoveries in recent years. The finds are set to transform the economy of Guyana, an impoverished country of fewer than 800,000 people.     ,With no refining capacity, Georgetown last year began selling its share of crude through open-market tenders, the first one awarded to Royal Dutch Shell Plc (,) for loading the first three cargoes allocated to the government. After that, it will depend on the trading firm to sell its oil to export  markets as the state builds up capacity to do so itself, Bynoe said.     ,""We don't yet have the kind of back office support that is necessary,"" he told Reuters on Wednesday afternoon in his office, lined with books on energy and development including historian Daniel Yergin's ""The Prize.""      ,""We're moving to this simpler methodology to be able to ensure that as we build out, we are not losing value.""     ,Bynoe said the government next month expects to begin asking international oil companies (IOCs) and energy trading firms for proposals to operate as the agent.      ,But he said the selection would not necessarily be made before Guyana's March 2 elections.  ,Irfaan Ali, who is challenging President David Granger, has pledged to review the terms of oil deals signed by the current administration. He has argued that the government was not transparent in choosing Shell to lift the first cargoes.    Bynoe disputed that.  ,He said the government invited nine oil companies to present bids because crude from the Liza field was new to the market, and the government wanted to see how it performed in different refineries.  ,He declined to disclose the price included in Shell's winning bid. ,Latin American nations including Mexico and Ecuador have signed contracts with trading companies in recent years so the firms market a portion of their crude exports. Critics say that by doing so, the countries or their state-run firms can lose an opportunity to obtain better terms by dealing directly with refiners.  ,After finding more than 6 billion barrels of recoverable oil and gas resources in Guyana, Exxon and its partners Hess Corp (,) and CNOOC Ltd (,) expect to produce 750,000 barrels per day (bpd) of crude by 2025.  ,Several other firms - including Tullow Oil (,), Repsol SA (,) and Total SA (,) are also exploring off the coast, though none have yet made commercial finds. ,Bynoe said Guyana expects to hire a company within two months to conduct new seismic surveys in the shallow continental shelf and some in deeper waters to provide hints as to where else oil may lie.     ,That would set the stage for a new licensing round for offshore acreage around the second quarter of 2021, he said.         ,The government is also working on a new template for production-sharing agreements (PSA) that could apply to future offshore development, but Bynoe reiterated that Guyana has no plans to renegotiate the Exxon deal.      ,The opposition and outside observers have criticized the Exxon agreement, which includes a 2% royalty and 50% profit share after Exxon recovers its costs, as too generous. But the company and the government argue incentives were necessary to attract investment to a risky play.     ,Bynoe did not specify what could change with the new PSA, parts of which would need to be approved by Congress, but said Guyana's basin was a less risky play after Exxon's discovery, allowing the government to ""move from a position of greater knowledge.""      ,He added that the country expected to hire an international consulting firm to help update its petroleum legislation, which was passed in 1986, by next week at the latest. ",Business News,1/23/2020 19:46,Exclusive: Guyana opening search for oil firm to trade its crude - official
"(Reuters) - Healthy travel demand is cushioning results for American Airlines Group Inc (,) and Southwest Airlines Co (,), the two said on Thursday, while warning they are losing customers as their Boeing 737 MAX jets remain parked in a global grounding.  ,American and Southwest, the two largest U.S. operators of Boeing Co's (,) 737 MAX aircraft that has been grounded since March following two deadly crashes, said they do not have enough aircraft to meet the demand they see in the market. ,Both airlines have canceled flights into early June as they operate slimmer fleets but said on Thursday that cancellations would likely extend into the summer or fall after Boeing signaled this week that it does not expect to win regulatory approval for the jets to fly again until mid-year. ,Southwest CEO Gary Kelly said the airline is losing 6 million to 7 million customers a year due to the 737 MAX grounding, but said he expects to ""aggressively recapture"" lost market share once the jets return. ,""There's a lot of pent-up demand for traveling on American. We're not going to be able to meet it all,"" American CEO Doug Parker told CNBC. ""It's going to unfortunately go to some of our competitors."" ,Even without the MAX, both airlines reported solid quarterly profits and pointed to strong first-quarter bookings. ,Shares of American Airlines gained 2.6% to $28.03 while Southwest shares were up 3.5% at $55.35. ,After regulators give the green light, airlines will still need a month or longer to prepare the jets and their pilots. ,For Southwest, the world's largest 737 MAX operator with nearly 10,000 pilots, the training process will take at least a couple of months more than the 30 days that it initially expected now that Boeing is recommending simulator training rather than just computer based training. ,Parker said it was too soon to see any impact from the coronavirus that has emerged from Wuhan, China, but said the carrier is working with U.S. public health officials. In response to the outbreak, passengers are being screened as a precaution at airports around the world. ,Southwest does not fly to Asia. ,For 2020, American said it expects 2020 full-year adjusted earnings between $4 and $6 per share, an estimate some analysts said they thought was conservative. ,Southwest, which had bet its entire growth strategy on the 737 MAX, did not provide 2020 guidance given continued uncertainty around when the jets will fly again. ,Both companies struck partial compensation deals with Boeing over 737 MAX damages in 2019 and said they expect additional settlements this year. ,Smaller U.S. airline JetBlue also posted quarterly earnings on Thursday that showed it delivering on a three-year cost-cutting drive, sending its shares higher. ",Business News,1/23/2020 14:51,"American, Southwest say demand helping competitors while 737 MAX sits parked"
"NEW YORK (Reuters) - The dollar rose against the euro on Thursday after the European Central Bank held interest rates steady and launched a broad review of its policy that was likely to see new President Christine Lagarde redefine the ECB's main goal and how to achieve it. ,""The ECB left policy and guidance unchanged at today's meeting, with the ECB still arguing that the overall situation justifies the negative interest rate environment and still stressing that it remains ready to adjust all measures if necessary, with the balance of risks still tilted to the downside,"" Natascha Gewaltig, director of European economics at Action Economics, said in a note. ,The euro zone's central bank has fallen short of its inflation target of just under 2% for years, even after Lagarde's predecessor, Mario Draghi, launched increasingly aggressive stimulus measures. ,""We will not leave any stone unturned and how we measure inflation is clearly something we need to look at,"" Lagarde said. ,""Basically, what she is saying is that they are reassessing some of the tools they have been using for basically a decade to booster up inflation to no avail,"" said Minh Trang, senior FX trader at Silicon Valley Bank in Santa Clara, California. ,The euro was 0.32% lower against the greenback at $1.1055, after slipping as low as $1.1037, its weakest since Dec. 2. ,The Japanese yen strengthened and China's yuan fell to a two-week low on Thursday as investors grew more anxious about the spread of a virus in China. ,The World Health Organisation (WHO) said on Thursday it was ""a bit too early"" to declare a new coronavirus a global health emergency as China put millions of people on lockdown amid an outbreak that has killed 18 people and infected more than 630. ,The moves up in the safe-haven yen and down in the yuan were measured, suggesting investors were not yet panicking about the virus. ,Against the yen, which tends to draw investors during times of geopolitical or financial stress, the dollar was 0.32% lower at 109.48 yen. ,The dollar gained 0.28% versus the offshore Chinese yuan , to 6.9277 yuan. The Chinese currency has now lost more than 1% of its value since it touched six-month highs on Monday. The onshore yuan , is on course for its worst week since August. ,Sterling was 0.19% lower, but remained close to a 2-week high hit on Wednesday, as data this week reduced market expectations of a interest rate cut at next week's Bank of England policy meeting. ",Business News,1/23/2020 2:25,"Dollar up vs euro as ECB holds rates steady, launches review"
"NEW YORK (Reuters) - Oil prices fell 2% on Thursday on concern that the spread of a virus from China could lower fuel demand if it stunts economic growth, but losses were limited by a drawdown in U.S. crude inventories.  ,Brent crude LCOc1 futures fell $1.17, or 1.9%, to settle at $62.04 a barrel. The session low was $61.25, the lowest since early December. ,U.S. West Texas Intermediate (WTI) crude CLc1 ended down $1.15, or 2%, at $55.59 a barrel, after hitting $54.77, its lowest since November. ,Two Chinese cities were put in lockdown on Thursday as health authorities around the world scrambled to prevent a global pandemic. The coronavirus outbreak has killed 18 people and infected nearly 630.     ,The potential for a pandemic has stirred memories of the Severe Acute Respiratory Syndrome (SARS) outbreak in 2002-03, which also started in China and caused a slump in travel.  ,""The market continues to retreat under demand concerns and shake off the rally after the OPEC production cuts,"" said Gene McGillian, vice president of market research at Tradition Energy in Stamford, Connecticut. ,With coronavirus cases detected as far as away as the United States, global stock markets also felt the effects of fears that the virus could spread further as millions of Chinese prepare to travel for the Lunar New Year this weekend.  ,""We estimate a price shock of up to $5 (a barrel) if the crisis develops into a SARS-style epidemic,"" JPM Commodities Research said in a note. ,The U.S. bank maintained its forecast for Brent to average $67 in the first quarter and $64.50 throughout 2020. ,Amid recent heightened tension between the United States and Iran, the United States on Thursday imposed Iran-related sanctions on two individuals and six companies, including four firms tied to the National Iranian Oil Company. ,Tempering losses, U.S. crude inventories USOILC=ECI fell 405,000 barrels last week, although gasoline stockpiles rose to their highest on record after 11 weeks of consecutive builds,  the Energy Information Administration reported.  ,""Crude inventories have ticked slightly lower in the last week, as a minor drop in imports has been offset by lower refining activity,"" said Matthew Smith, director of commodity research at ClipperData. ,China, meanwhile, released data showing gasoline exports rose by nearly a third last year thanks to new refineries. ,This week, the International Energy Agency (IEA) said it expects a surplus of 1 million barrels per day in the first half of the year. ",Business News,1/23/2020 2:33,Oil falls 2% as specter of China virus threatens fuel demand
"(Reuters) - Amazon.com Inc said on Wednesday it filed a motion in court to pause the U.S. Department of Defense and Microsoft Corp from carrying out an up to $10 billion cloud computing deal until a court rules on its protest of the contract award.  ,Amazon, originally considered to be the favorite to win the award, had indicated last week that it would file a temporary restraining order to require the Pentagon and Microsoft to hold off beyond initial activities for the contract.  ,Known as the Joint Enterprise Defense Infrastructure Cloud, or JEDI, the contract is intended to give the military better access to data and technology from remote locations.  ,In a statement, Amazon's cloud division Amazon Web Services said, ""It is common practice to stay contract performance while a protest is pending, and it's important that the numerous evaluation errors and blatant political interference that impacted the JEDI award decision be reviewed.""  ,The procurement process has been delayed by legal complaints and conflict of interest allegations. Most recently, Amazon has blamed U.S. President Donald Trump for bias against the company and for improperly pressuring the Pentagon.  ,Defense Secretary Mark Esper has rejected that there was bias and said the Pentagon made its choice fairly and freely without external influence. ",Technology News,1/23/2020 3:49,Amazon asks court to pause Microsoft's work on Pentagon's JEDI contract
"(Reuters) - Xerox Holdings Corp said on Thursday it plans to nominate 11 independent candidates to HP Inc's board, seeking to take control of the personal computer maker after several rejections of its $33.5 billion buyout offer. ,The U.S. printer maker made the cash-and-stock offer to HP, a company more than three times its size, in November. HP's board rejected the offer saying it significantly undervalued the company. ,""HP shareholders have told us they believe our acquisition proposal will bring tremendous value, which is why we lined up $24 billion in binding financing commitments and a slate of highly qualified director candidates,"" John Visentin, Xerox's CEO, said on Thursday. ,HP, which has 12 board members, responded to Xerox's decision to nominate candidates by again saying the bid undervalues the company. ,The company added that the move to nominate members to its board was being ""driven"" by activist investor Carl Icahn, who has a 4.2% stake in HP and a 10.9% stake in Xerox. ,In December, Icahn urged HP shareholders who agreed to the merger to reach out to the PC maker's directors for immediate action.  ,The PC maker also said that due to Icahn's ownership position, he would stand to ""disproportionately benefit"" if a deal between the companies happens. ,""These nominations are a self-serving tactic by Xerox to advance its proposal, which significantly undervalues HP and creates meaningful risk to the detriment of HP shareholders,"" HP said in a statement. ,HP added that its board would review Xerox's director nominees and respond in due course. ,Xerox's slate of candidates include current or former executives from companies such as American Airlines, Cognizant Technology Solutions, Jefferies and Wynn Resorts. ,Both HP and Xerox have been facing a decline in demand as corporate clients choose to send emails rather than print out documents. ,While some Wall Street analysts have said a merger would help the companies in a declining printing market, others have cited challenges to integration, given their different offerings and pricing models. ,""I don't think (the nomination) puts enough pressure on HP to agree to a merger, but it may cause HP to consider negotiations for a higher valuation from Xerox,"" Morningstar analyst Mark Cash said.   ,Shares of Xerox were down marginally at $36.24 while HP was up 0.8% to $22.10. ",Business News,1/23/2020 14:35,Xerox nominates new HP board after buyout rebuffs
"DETROIT (Reuters) - A U.S. regulator said it will review part of a recommendation made last fall that India's Mahindra and Mahindra Ltd infringed upon the intellectual property rights of Fiat Chrysler Automobiles' Jeep SUV design. ,The International Trade Commission (ITC) on Wednesday said it would review an administrative law judge's initial determination last November that Mahindra's Roxor off-road utility vehicle infringed on the ""trade dress"" of FCA's Jeep. The judge recommended the commission bar entry of Mahindra vehicles or parts that infringe and issue a cease-and-desist order. ,Trade dress consists of the unique characteristics that make a product stand apart and is generally accepted as identified with that product by the public. For example, FCA sees Jeep's grille and round headlights as distinct to the brand. ,The commission, which in September 2018 initially opened its investigation, said on Wednesday it is targeting completion of the inquiry by March 20.  ,If the ITC recommends a form of remedy, the U.S. Trade Representative would have 60 days to approve, disapprove or take no action on that determination. ,Mahindra, which previously has called FCA's claims without merit, on Thursday welcomed the commission's review. ,""We are optimistic that the ITC will in its review conclude that FCA did not establish previously unclaimed U.S. rights in trade dress and that there was no infringement of either trade dress or registered trademarks,"" the company said in an emailed statement.  ,Mahindra said it has launched its model year 2020 Roxor with what it described as ""significant styling changes"" and said it would make additional changes if the ITC required it. ,FCA was unconcerned the commission will overturn the judge's initial recommendation. ,""Review is a part of the commission process,"" the Italian-American automaker said in an emailed statement on Thursday. ""Based on the facts and law, FCA US remains confident the administrative law judge's initial determination of violation by Mahindra will be adopted by the commission."" ,The Roxor is assembled in Auburn Hills, north of Detroit, by Mahindra's North American subsidiary. ",Business News,1/23/2020 16:38,U.S. regulator to review recommendation on Fiat Chrysler's Jeep complaint against Mahindra
"NEW YORK (Reuters) - From June 30, Goldman Sachs Group Inc will only help take a company public if it has at least one diverse board member, as such companies perform better after listing, Chief Executive David Solomon said on CNBC on Thursday.  ,The policy will apply to U.S. and European companies and will increase over time, with the bank requiring two diverse board members starting in June 2021, Goldman Chief Executive David Solomon said on CNBC. ,Solomon did not define what the company meant by ""diverse"" candidates, but said the focus was on women. ,""We're not going to take a company public unless there's one diverse board candidate with a focus on women,"" he said. ,The decision comes as more than 60 U.S. and European companies went public in the last two years without any female board members, the bank said.  ,Citing its own data, Goldman said companies with greater diversity performed better in the markets.  ,Those with at least one diverse board member saw a 44% jump in their average share price within a year of going public, versus 13% at companies with no diverse board members. ,""We think it's the right advice and we're in a position also because of our network to help our clients if they need help placing women on boards,"" Solomon said on CNBC.  ,Goldman Sachs will not turn away companies that lack diverse boards at the outset, and it said it currently has some clients that will need help meeting this new standard. The bank said it would introduce executives of these companies to qualified potential candidates.  ,Ultimately, the bank will not take the company public if it does not meet this new standard, Solomon said.  ,On Goldman's own board, four out of 11 directors are women and its lead director since 2014, Adebayo Ogunlesi, is black.  ,The new policy follows similar diverse hiring targets announced at the bank last spring.  ,In March 2019, the bank set a goal that half of all new analysts and entry-level associates it hired would be women, 11% would be black professionals and 14% will be Latino professionals in the United States.  ,In Britain, the bank aims for 9% of all new analysts and entry-level hires to be black professionals.  ,At more senior hiring levels, the bank is requiring that at least two diverse qualified candidates are interviewed for any open role. Senior members of management are judged on whether they meet these targets in the determination of their pay.  ",Business News,1/23/2020 17:24,Goldman Sachs to companies: Hire at least one woman director if you want to go public
"WASHINGTON (Reuters) - A U.S. bank regulator announced Thursday that several senior former Wells Fargo executives face potential lifetime industry bans and millions of dollars in civil penalties for their roles in the bank's long-running sales practices scandal. ,The Office of the Comptroller of the Currency (OCC) announced civil charges against five former senior bank executives and settlements of charges with three other senior bank officials, including former Chief Executive John Stumpf. He agreed to pay a $17.5 million penalty and a prohibition from the banking industry, while Carrie Tolstedt, the former community banking head, faces a fine of $25 million and an industry ban. ,The regulator said the executives failed to adequately perform their duties and allowed misconduct to continue at the bank for years. ",Business News,1/23/2020 18:40,"Ex-Wells Fargo executives face civil charges, multimillion-dollar fines from U.S. bank regulator"
"WASHINGTON (Reuters) - Wells Fargo & Co's regulator on Thursday announced it had brought civil charges against eight former executives, including former Chief Executive Officer John Stumpf, marking the first federal action against individuals for their role in the bank's three-year sales practices scandal.  ,The unprecedented enforcement action by the Office of the Comptroller of the Currency (OCC), which has been under pressure from lawmakers to take a tough line on the bank, is one of a long list of investigations into the San Francisco-based lender.  ,Others, including ongoing probes by the Department of Justice and the Securities and Exchange Commission, could result in further individual charges. One person with knowledge of the OCC probe said it was far-reaching and that more individuals could potentially be charged in future.  ,Some of the OCC's findings also contradict Wells Fargo's 2017 board report into the scandal, and is likely to spark further questions by lawmakers and regulators about the bank's efforts to fix its cultural problems. That report largely pinned the blame on a small number of executives, in particular the bank's former retail banking head Carrie Tolstedt, but on Thursday the OCC said many members of the bank's senior leadership were culpable. ,Stumpf agreed to pay $17.5 million to settle the charges, while former human resources head Hope Hardison and Michael Loughlin, former chief risk officer, settled for $2.25 million and $1.25 million, respectively, the OCC said.  ,Stumpf, who could not immediately be reached for comment, also agreed to a lifetime ban on working for an OCC-regulated bank. He abruptly left the company in October of 2016 after a nearly a decade at the helm. ,Five other former executives refused to settle, including Tolstedt who is facing a potential $25 million civil monetary penalty, James Strother, the former general counsel, and Claudia Russ Anderson, the former community bank group risk officer, who both face $5 million fines. They and two auditing executives will fight the charges before a judge under the OCC's administrative process.  ,""Throughout her career, Ms. Tolstedt acted with the utmost integrity and concern for doing the right thing. A full and fair examination of the facts will vindicate Carrie,"" a lawyer for Tolstedt said in a statement. ,In a statement, Strother's lawyer said the former Wells Fargo executive ""acted with the utmost integrity and transparency"" and that the OCC's charges are ""false and unfounded.""  ,Russ Anderson could not immediately be reached for comment.  ,In a memo to Wells Fargo employees, CEO Charlie Scharf said the company was reviewing Thursday's filings and will determine what, if any, further action is appropriate in respect to any of the individuals who were named. The memo added that the bank would not make any remaining compensation payments that may be owed to those individuals in the meantime. ,Wells Fargo, the country's fourth largest U.S. lender, has paid out more than $4 billion in fines and penalties since the 2016 revelation that the bank's sales practices encouraged employees to open potentially millions of unauthorized bank accounts in order to hit lofty sales targets.  ,Since then, internal and external probes have uncovered issues in each of Wells Fargo's major business lines, including wealth management and the commercial bank. The fallout has also resulted in the Federal Reserve imposing an unprecedented growth restriction on Wells Fargo's balance sheet until it proves it has fixed its risk management and controls.  ,While Wells Fargo has inked multiple federal and private settlements for its sales practices, the OCC action marks the first federal action against individuals for their roles in the scandal, instead of just the institution.  ,In its complaint, the OCC said that senior bank leadership must have been aware of rampant sales misconduct, citing large numbers of employee complaints and years' worth of other evidence. For example, an internal investigation conducted by the bank in 2004 found that instances in which staff ""gamed"" the sales system to meet targets climbed 979% from 2000 to 2004. ,The number of calls to the bank's internal ethics hotline steadily climbed from 2006 through 2014, the OCC said, with nearly half of all cases investigated related to sales misconduct. ,In bringing its charges, the OCC said the eight individuals failed to adequately perform their responsibilities, which contributed to the bank's systemic sales practices problems. ,""The misconduct of these individuals allowed the practices to continue for years, affecting millions of bank customers and thousands of lower-level bank employees,"" it said. ",Business News,1/23/2020 17:20,Bank regulator charges ex-Wells Fargo executives for role in sales scandal
BOSTON (Reuters) - Insys Therapeutics founder John Kapoor was sentenced to 66 months in prison for his role in an opioid fraud scheme by a U.S. district judge in Boston on Thursday. ,Business News,1/23/2020 21:14,Insys founder Kapoor sentenced to 66 months in prison: judge
"NEW YORK (Reuters) - The biggest tumble in Chinese stocks in more than eight months led global equity markets lower on Thursday as concern mounted about the coronavirus outbreak in China. ,Millions of Chinese are preparing to travel for the Lunar New Year, which begins on Saturday, increasing the potential for the disease to spread. The cities of Wuhan and Huanggang, representing a total population of about 18 million people, were put on a travel lockdown to prevent the virus from spreading, a public health measure that the World Health Organization called ""unprecedented."" ,""Ultimately, the coronavirus is a slow-burning but important story for markets that is likely to last for months rather than just a few days,"" said TD Securities' European head of currency strategy, Ned Rumpeltin.  ,European stocks followed Asian markets lower, with the pan-European STOXX 600 index  down 0.71%. ,Yet news that Gilead Sciences Inc was assessing its experimental Ebolda drug as a possible treatment for the virus helped U.S. stocks pare their losses and left major market benchmarks mixed.  ,The Dow Jones Industrial Average , fell 26.45 points, or 0.09%, to 29,159.82, the S&P 500 , gained 3.75 points, or 0.11%, to 3,325.5 and the Nasdaq Composite , added 18.71 points, or 0.2%, to 9,402.48.  ,The Dow had been down more than 125 points in midday trading.  ,MSCI's gauge of stocks across the globe .MIWD00000PUS shed 0.27%. ,Gold and U.S. Treasuries also rose as investors sought out safer assets. Gold later reversed in Europe as part of a wider fall in metals markets that left copper at a six-week low and walloped 2% off nickel.  ,Benchmark 10-year notes US10YT=RR last rose 11/32 in price to yield 1.7342%, from 1.771% late on Wednesday. ,Deaths in China from the coronavirus rose to 17 on Wednesday, with more than 600 cases confirmed. ,""The coronavirus has introduced some caution,"" said Michael McCarthy, chief market strategist at CMC Markets in Sydney. ""There is no reason to expect a global pandemic now, but there is some repricing in financial markets."" ,The Chinese yuan fell to a two-week low, on course for its worst week since August. The Japanese yen climbed 0.2% to secure a third day of gains as the dollar went flat. ,The euro fell to a six-week low and German bond yields dropped to their lowest in two weeks after European Central Bank President Christine Lagarde struck a slightly more dovish tone than some had expected. ,U.S. crude CLcv1 slid 1.2% to $55.58, while Brent LCOcv1 dropped 1.2% to $62.03.  ",Business News,1/23/2020 2:27,Coronavirus fears weigh on global equity markets
